login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
quantumjim,quantumjim/quantograph,2019-03-29T09:53:53Z,2,2,Python,True,True,apache-2.0
quantumjim,quantumjim/quantomino,2019-06-12T09:02:49Z,0,0,Python,True,True,apache-2.0
quantumjim,quantumjim/Quantum-Computation-course-Basel,2022-02-08T11:01:43Z,16,16,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/quantum-toy-piano-ibmq,2019-01-16T15:12:13Z,1,1,JavaScript,True,True,
quantumjim,quantumjim/QuantumBlur,2020-09-04T10:32:03Z,1,1,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/QuantumBlurDemoHek,2024-09-10T09:59:06Z,0,0,Python,True,True,apache-2.0
quantumjim,quantumjim/QuantumBlurUnity,2020-10-02T09:17:15Z,0,0,,True,True,apache-2.0
quantumjim,quantumjim/QuantumGraph,2020-06-17T13:55:58Z,2,2,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/quantumjim,2022-11-11T08:55:47Z,0,0,,True,True,
quantumjim,quantumjim/QuantumMusicHack,2021-11-20T16:51:12Z,3,3,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/quantum_emoticon,2017-10-03T22:08:32Z,12,12,Jupyter Notebook,True,True,
quantumjim,quantumjim/quantum_images,2019-05-03T08:49:28Z,1,1,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/qubitmap,2019-03-24T20:17:40Z,1,1,Python,True,True,apache-2.0
quantumjim,quantumjim/Q_Avrai,2020-06-02T13:27:44Z,2,2,TeX,True,True,apache-2.0
quantumjim,quantumjim/rustworkx,2022-10-14T09:04:38Z,0,0,,True,True,apache-2.0
quantumjim,quantumjim/soft_information_decoding,2024-06-04T22:09:20Z,1,1,Jupyter Notebook,True,True,mit
quantumjim,quantumjim/talks,2018-11-21T14:23:04Z,0,0,Python,True,True,
quantumjim,quantumjim/TopologicalCodesTutorial,2021-09-21T12:51:41Z,9,9,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/topological_codes,2019-05-24T10:07:35Z,1,1,,True,True,apache-2.0
quantumjim,quantumjim/wavefunction-collapse,2019-01-10T12:37:12Z,1,1,Jupyter Notebook,True,True,
quantumjim,quantumjim/wfc_python,2019-01-11T14:08:58Z,6,6,Python,True,True,other
quantumjim,quantumjim/xmastree2020,2020-12-28T00:27:39Z,0,0,Python,True,True,mit
quantumjim,quantumjim/xmastree2021,2021-12-27T22:46:59Z,0,0,Python,True,True,mit
odan,odan/aspnet-api,2022-12-16T13:32:47Z,2,2,C#,True,True,
odan,odan/base62js,2013-08-01T18:13:26Z,5,5,JavaScript,True,True,mit
odan,odan/cache,2017-01-31T06:37:16Z,11,11,PHP,False,False,mit
odan,odan/excel,2023-11-07T00:11:56Z,1,1,PHP,False,False,mit
odan,odan/hydrator,2017-10-04T13:24:32Z,6,6,PHP,True,True,mit
odan,odan/learn-php,2017-04-01T14:21:24Z,1079,1079,HTML,True,True,mit
odan,odan/mysql-querybuilder-dotnet,2018-07-31T21:14:19Z,2,2,C#,True,True,mit
odan,odan/odan,2022-01-31T07:52:02Z,0,0,,True,True,
odan,odan/odan.github.io,2021-10-02T11:00:46Z,1,1,HTML,True,True,
odan,odan/phinx-migrations-generator,2016-06-16T08:40:31Z,231,231,PHP,False,True,mit
odan,odan/PHP-View,2024-07-10T16:17:49Z,0,0,PHP,True,False,mit
odan,odan/phpstan-rules,2023-01-15T18:54:12Z,4,4,PHP,True,True,mit
odan,odan/phpstorm-color-schemes,2021-07-25T11:54:39Z,1,1,,True,True,mit
odan,odan/plates-asset-cache,2015-09-06T09:35:18Z,5,5,PHP,True,True,mit
odan,odan/prisma,2016-05-20T09:02:15Z,42,42,PHP,True,False,mit
odan,odan/rocky,2022-05-22T21:22:04Z,7,7,PHP,False,True,mit
odan,odan/session,2018-01-13T21:28:20Z,58,58,PHP,False,True,mit
odan,odan/Slim,2024-07-07T11:35:00Z,2,2,PHP,True,True,mit
odan,odan/slim-checker,2021-07-17T11:30:51Z,6,6,PHP,True,True,
odan,odan/Slim-Csrf,2024-06-08T15:09:41Z,0,0,,True,True,mit
odan,odan/Slim-HttpCache,2024-07-07T16:09:28Z,0,0,PHP,True,True,mit
odan,odan/Slim-Website,2023-02-08T21:57:20Z,0,0,Less,True,True,
odan,odan/slim4-htmx,2023-09-12T17:56:35Z,9,9,PHP,True,True,mit
odan,odan/slim4-skeleton,2019-08-16T20:09:23Z,443,443,PHP,False,False,mit
odan,odan/slim4-tutorial,2020-01-03T14:13:03Z,98,98,PHP,True,True,
odan,odan/speedpdfmerge,2014-07-05T09:56:44Z,0,0,C#,True,True,mit
odan,odan/tsid,2022-12-09T00:06:23Z,16,16,PHP,True,True,mit
odan,odan/twig-assets,2017-11-26T00:42:50Z,22,22,PHP,True,True,mit
odan,odan/twig-translation,2017-11-26T00:43:19Z,15,15,PHP,False,False,mit
odan,odan/Twig-View,2024-04-23T22:10:38Z,0,0,PHP,True,True,mit
JuergenGutsch,JuergenGutsch/angular2-aspnetcore,2016-09-16T18:11:28Z,14,14,JavaScript,True,True,mit
JuergenGutsch,JuergenGutsch/angular2-aspnetcore-vs,2016-10-11T20:52:58Z,22,22,HTML,True,True,mit
JuergenGutsch,JuergenGutsch/ASP.NET-5-Razor-Pages,2015-11-05T06:54:54Z,0,0,HTML,True,True,mit
JuergenGutsch,JuergenGutsch/aspire,2023-11-16T07:08:20Z,0,0,C#,True,False,mit
JuergenGutsch,JuergenGutsch/aspire-samples,2024-02-05T19:19:38Z,0,0,,True,True,mit
JuergenGutsch,JuergenGutsch/AspLabs,2016-11-10T21:37:01Z,0,0,C#,True,True,other
JuergenGutsch,JuergenGutsch/aspnetcore,2021-11-08T20:11:28Z,0,0,C#,True,True,mit
JuergenGutsch,JuergenGutsch/aspnetcore-and-react,2018-09-27T13:51:25Z,1,1,,True,True,mit
JuergenGutsch,JuergenGutsch/aspnetcore-cake,2018-02-12T14:52:56Z,0,0,C#,True,True,mit
JuergenGutsch,JuergenGutsch/aspnetcore-circuitbreaker-healthcheck,2023-02-14T20:09:37Z,0,0,C#,True,True,mit
JuergenGutsch,JuergenGutsch/aspnetcore-globalization,2022-10-24T20:01:55Z,0,0,C#,True,True,mit
JuergenGutsch,JuergenGutsch/aspnetcore-workshop,2017-09-20T13:57:24Z,1,1,C#,True,True,
JuergenGutsch,JuergenGutsch/AspNetCore.Docs,2020-05-11T17:52:18Z,0,0,C#,True,True,cc-by-4.0
JuergenGutsch,JuergenGutsch/aspnetcore3-demos,2019-05-09T22:14:53Z,5,5,C#,True,True,mit
JuergenGutsch,JuergenGutsch/async-proxy,2015-06-30T05:46:31Z,2,2,C#,True,True,mit
JuergenGutsch,JuergenGutsch/blog,2015-11-18T07:31:26Z,31,31,HTML,True,True,other
JuergenGutsch,JuergenGutsch/BrowserDeflector,2019-01-10T09:24:14Z,0,0,C#,True,True,
JuergenGutsch,JuergenGutsch/cd-using-cake,2019-03-26T19:56:38Z,1,1,PowerShell,True,True,mit
JuergenGutsch,JuergenGutsch/codetherapist.github.io,2018-08-10T18:38:50Z,0,0,CSS,True,False,
JuergenGutsch,JuergenGutsch/component-detection,2024-01-24T17:03:31Z,0,0,,True,False,mit
JuergenGutsch,JuergenGutsch/CoreWiki,2018-09-20T18:13:42Z,0,0,CSS,True,True,mit
JuergenGutsch,JuergenGutsch/customizing-aspnetcore-in-bern,2022-11-25T20:53:07Z,0,0,C#,True,True,mit
